City,Region,Municipal,Year,Population,Violent_crime,Violent_crime_Rate,Murder_and_nonnegligent_manslaughter,Murder_and_nonnegligent_manslaughter_Rate,Rape,Rape_Rate,Robbery,Robbery_Rate,Aggravated_assault,Aggravated_assault_Rate,Property_crime,Property_crime_Rate,Burglary,Burglary_Rate,Larceny_theft,Larceny_theft_Rate,Motor_vehicle_theft,Motor_vehicle_theft_Rate,Arson,Arson_Rate
Fall River,Fall River,Fall River,2012,"89,753",954,1062.92,2,2.23,52,57.94,262,291.91,638,710.84,2706,3014.94,774,862.37,1659,1848.41,273,304.17,27,30.08
Fall River,Fall River,Fall River,2013,"89,220",944,1058.06,0,0,73,81.82,225,252.19,646,724.05,2364,2649.63,698,782.34,1443,1617.35,223,249.94,32,35.87
Fall River,Fall River,Fall River,2014,"88,915",1036,1165.16,1,1.12,80,89.97,221,248.55,734,825.51,2187,2459.65,527,592.7,1462,1644.27,198,222.68,35,39.36
Fall River,Fall River,Fall River,2015,"88,711",1012,1140.78,2,2.25,60,67.64,175,197.27,775,873.62,1767,1991.86,440,495.99,1148,1294.09,179,201.78,23,25.93
Fall River,Fall River,Fall River,2016,"88,371",966,1093.12,1,1.13,67,75.82,190,215,708,801.17,1666,1885.23,485,548.82,944,1068.22,237,268.19,49,55.45
Fall River,Fall River,Fall River,2017,"89,012",880,988.63,3,3.37,53,59.54,187,210.08,637,715.63,1564,1757.07,426,478.59,909,1021.21,229,257.27,29,32.58
Falmouth,Falmouth,Falmouth,2010,"32,471",125,384.96,0,0,4,12.32,25,76.99,96,295.65,1168,3597.06,640,1970.99,498,1533.68,30,92.39,1,3.08
Falmouth,Falmouth,Falmouth,2011,"31,723",157,494.91,0,0,12,37.83,26,81.96,119,375.12,1067,3363.49,581,1831.48,447,1409.07,39,122.94,6,18.91
Falmouth,Falmouth,Falmouth,2012,"31,794",129,405.74,0,0,11,34.6,16,50.32,102,320.82,1064,3346.54,559,1758.19,472,1484.56,33,103.79,3,9.44
Falmouth,Falmouth,Falmouth,2013,"31,592",102,322.87,2,6.33,11,34.82,18,56.98,71,224.74,899,2845.66,467,1478.22,392,1240.82,40,126.61,2,6.33
Falmouth,Falmouth,Falmouth,2014,"31,760",113,355.79,2,6.3,9,28.34,13,40.93,89,280.23,760,2392.95,386,1215.37,347,1092.57,27,85.01,5,15.74
Falmouth,Falmouth,Falmouth,2015,"31,666",155,489.48,0,0,15,47.37,12,37.9,128,404.22,613,1935.83,245,773.7,342,1080.02,26,82.11,2,6.32
Falmouth,Falmouth,Falmouth,2016,"31,382",120,382.38,0,0,7,22.31,4,12.75,109,347.33,625,1991.59,267,850.81,323,1029.25,35,111.53,2,6.37
Falmouth,Falmouth,Falmouth,2017,"31,487",123,390.64,0,0,14,44.46,3,9.53,106,336.65,468,1486.33,190,603.42,246,781.27,32,101.63,4,12.7
Fitchburg,Fitchburg,Fitchburg,2010,"42,046",314,746.8,1,2.38,22,52.32,53,126.05,238,566.05,1119,2661.37,355,844.31,684,1626.79,80,190.27,4,9.51
Fitchburg,Fitchburg,Fitchburg,2011,"40,564",304,749.43,2,4.93,15,36.98,43,106.01,244,601.52,1424,3510.5,464,1143.87,908,2238.44,52,128.19,7,17.26
Fitchburg,Fitchburg,Fitchburg,2012,"40,809",319,781.69,1,2.45,21,51.46,47,115.17,250,612.61,1086,2661.18,307,752.29,734,1798.62,45,110.27,6,14.7
Fitchburg,Fitchburg,Fitchburg,2013,"40,521",307,757.63,2,4.94,33,81.44,35,86.37,237,584.88,1060,2615.93,275,678.66,705,1739.84,80,197.43,7,17.27
Fitchburg,Fitchburg,Fitchburg,2014,"40,492",330,814.98,0,0,31,76.56,65,160.53,234,577.89,1161,2867.23,301,743.36,783,1933.72,77,190.16,16,39.51
Fitchburg,Fitchburg,Fitchburg,2015,"40,467",340,840.19,1,2.47,26,64.25,66,163.1,247,610.37,1055,2607.06,315,778.41,677,1672.97,63,155.68,8,19.77
Fitchburg,Fitchburg,Fitchburg,2016,"40,391",312,772.45,1,2.48,27,66.85,62,153.5,222,549.63,846,2094.53,189,467.93,613,1517.66,44,108.94,4,9.9
Fitchburg,Fitchburg,Fitchburg,2017,"40,445",299,739.28,0,0,45,111.26,47,116.21,207,511.81,741,1832.12,169,417.85,516,1275.81,56,138.46,7,17.31
Florida,Florida,Florida,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,Florida,Florida,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,Florida,Florida,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,Florida,Florida,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,Florida,Florida,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,Florida,Florida,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,Florida,Florida,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,Florida,Florida,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Foxborough,Foxborough,Foxborough,2010,"17,023",47,276.1,0,0,7,41.12,3,17.62,37,217.35,207,1216,75,440.58,122,716.68,10,58.74,0,0
Foxborough,Foxborough,Foxborough,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Foxborough,Foxborough,Foxborough,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Foxborough,Foxborough,Foxborough,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Foxborough,Foxborough,Foxborough,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Foxborough,Foxborough,Foxborough,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Foxborough,Foxborough,Foxborough,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Foxborough,Foxborough,Foxborough,2017,"17,636",45,255.16,1,5.67,4,22.68,0,0,40,226.81,192,1088.68,45,255.16,138,782.49,9,51.03,1,5.67
Framingham,Framingham,Framingham,2010,"66,493",189,284.24,0,0,5,7.52,25,37.6,159,239.12,1409,2119.02,313,470.73,1025,1541.52,71,106.78,NA,0
Framingham,Framingham,Framingham,2011,"68,734",187,272.06,0,0,6,8.73,21,30.55,160,232.78,1126,1638.2,212,308.44,830,1207.55,84,122.21,0,0
Framingham,Framingham,Framingham,2012,"69,605",154,221.25,0,0,7,10.06,21,30.17,126,181.02,1238,1778.61,254,364.92,884,1270.02,100,143.67,1,1.44
Framingham,Framingham,Framingham,2013,"70,753",172,243.1,0,0,4,5.65,23,32.51,145,204.94,1025,1448.7,217,306.7,735,1038.83,73,103.18,3,4.24
Framingham,Framingham,Framingham,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Framingham,Framingham,Framingham,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Framingham,Framingham,Framingham,2016,"71,422",211,295.43,0,0,8,11.2,18,25.2,185,259.02,831,1163.51,122,170.82,655,917.08,54,75.61,0,0
Framingham,Framingham,Framingham,2017,"72,153",235,325.7,0,0,14,19.4,20,27.72,201,278.57,748,1036.69,132,182.94,549,760.88,67,92.86,2,2.77
Franklin,Franklin,Franklin,2010,"31,979",12,37.52,0,0,3,9.38,5,15.64,4,12.51,127,397.14,24,75.05,99,309.58,4,12.51,0,0
Franklin,Franklin,Franklin,2011,"31,828",5,15.71,0,0,0,0,3,9.43,2,6.28,114,358.18,25,78.55,89,279.63,0,0,0,0
Franklin,Franklin,Franklin,2012,"32,134",11,34.23,0,0,0,0,9,28.01,2,6.22,135,420.12,43,133.81,90,280.08,2,6.22,0,0
Franklin,Franklin,Franklin,2013,"32,633",7,21.45,0,0,0,0,6,18.39,1,3.06,171,524.01,31,95,138,422.88,2,6.13,0,0
Franklin,Franklin,Franklin,2014,"32,857",5,15.22,0,0,1,3.04,2,6.09,2,6.09,105,319.57,41,124.78,61,185.65,3,9.13,0,0
Franklin,Franklin,Franklin,2015,"33,095",4,12.09,0,0,0,0,1,3.02,3,9.06,111,335.4,26,78.56,83,250.79,2,6.04,0,0
Franklin,Franklin,Franklin,2016,"33,264",1,3.01,0,0,1,3.01,0,0,0,0,98,294.61,19,57.12,73,219.46,6,18.04,0,0
Franklin,Franklin,Franklin,2017,"33,397",9,26.95,0,0,0,0,1,2.99,8,23.95,74,221.58,20,59.89,51,152.71,3,8.98,0,0
Freetown,Freetown,Freetown,2010,"9,027",33,365.57,0,0,1,11.08,4,44.31,28,310.18,121,1340.42,33,365.57,73,808.69,15,166.17,1,11.08
Freetown,Freetown,Freetown,2011,"8,924",15,168.09,0,0,0,0,1,11.21,14,156.88,165,1848.95,62,694.76,97,1086.96,6,67.23,2,22.41
Freetown,Freetown,Freetown,2012,"8,960",12,133.93,0,0,0,0,2,22.32,10,111.61,200,2232.14,75,837.05,111,1238.84,14,156.25,1,11.16
Freetown,Freetown,Freetown,2013,"8,996",21,233.44,0,0,3,33.35,2,22.23,16,177.86,137,1522.9,54,600.27,74,822.59,9,100.04,2,22.23
Freetown,Freetown,Freetown,2014,"9,100",25,274.73,0,0,2,21.98,2,21.98,21,230.77,133,1461.54,37,406.59,82,901.1,14,153.85,4,43.96
Freetown,Freetown,Freetown,2015,"9,151",26,284.12,0,0,3,32.78,2,21.86,21,229.48,112,1223.91,37,404.33,68,743.09,7,76.49,1,10.93
Freetown,Freetown,Freetown,2016,"9,199",21,228.29,0,0,3,32.61,2,21.74,16,173.93,105,1141.43,22,239.16,71,771.82,12,130.45,3,32.61
Freetown,Freetown,Freetown,2017,"9,343",23,246.17,0,0,4,42.81,2,21.41,17,181.95,100,1070.32,30,321.1,58,620.79,12,128.44,1,10.7
Gardner,Gardner,Gardner,2010,"20,743",94,453.16,0,0,10,48.21,13,62.67,71,342.28,621,2993.78,212,1022.03,380,1831.94,29,139.81,3,14.46
Gardner,Gardner,Gardner,2011,"20,351",149,732.15,0,0,12,58.97,22,108.1,115,565.08,581,2854.9,236,1159.65,326,1601.89,19,93.36,2,9.83
Gardner,Gardner,Gardner,2012,"20,474",88,429.81,0,0,7,34.19,8,39.07,73,356.55,523,2554.46,142,693.56,366,1787.63,15,73.26,1,4.88
Gardner,Gardner,Gardner,2013,"20,341",93,457.2,0,0,13,63.91,10,49.16,70,344.13,571,2807.14,190,934.07,366,1799.32,15,73.74,2,9.83
Gardner,Gardner,Gardner,2014,"20,462",151,737.95,0,0,11,53.76,15,73.31,125,610.89,605,2956.7,175,855.24,408,1993.94,22,107.52,2,9.77
Gardner,Gardner,Gardner,2015,"20,444",197,963.61,0,0,16,78.26,8,39.13,173,846.21,346,1692.43,54,264.14,286,1398.94,6,29.35,1,4.89
Gardner,Gardner,Gardner,2016,"20,277",NA,0,1,4.93,13,64.11,7,34.52,NA,0,509,2510.23,145,715.1,349,1721.16,15,73.98,1,4.93
Gardner,Gardner,Gardner,2017,"20,491",99,483.14,1,4.88,18,87.84,7,34.16,73,356.25,336,1639.74,82,400.18,234,1141.96,20,97.6,5,24.4
Georgetown,Georgetown,Georgetown,2010,"8,772",14,159.6,0,0,1,11.4,1,11.4,12,136.8,71,809.39,23,262.2,47,535.8,1,11.4,0,0
Georgetown,Georgetown,Georgetown,2011,"8,233",8,97.17,0,0,0,0,3,36.44,5,60.73,60,728.77,21,255.07,36,437.26,3,36.44,0,0
Georgetown,Georgetown,Georgetown,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgetown,Georgetown,Georgetown,2013,"8,457",3,35.47,0,0,1,11.82,0,0,2,23.65,64,756.77,17,201.02,46,543.93,1,11.82,0,0
Georgetown,Georgetown,Georgetown,2014,"8,559",1,11.68,0,0,0,0,1,11.68,0,0,71,829.54,17,198.62,52,607.55,2,23.37,0,0
Georgetown,Georgetown,Georgetown,2015,"8,615",3,34.82,0,0,1,11.61,0,0,2,23.22,32,371.45,7,81.25,24,278.58,1,11.61,0,0
Georgetown,Georgetown,Georgetown,2016,"8,623",2,23.19,0,0,0,0,0,0,2,23.19,47,545.05,6,69.58,39,452.28,2,23.19,0,0
Georgetown,Georgetown,Georgetown,2017,"8,715",4,45.9,0,0,1,11.47,0,0,3,34.42,51,585.2,7,80.32,42,481.93,2,22.95,0,0
Gill,Gill,Gill,2010,"1,381",1,72.41,0,0,0,0,0,0,1,72.41,24,1737.87,9,651.7,15,1086.17,0,0,1,72.41
Gill,Gill,Gill,2011,"1,509",0,0,0,0,0,0,0,0,0,0,11,728.96,3,198.81,7,463.88,1,66.27,1,66.27
Gill,Gill,Gill,2012,"1,518",0,0,0,0,0,0,0,0,0,0,19,1251.65,10,658.76,9,592.89,0,0,0,0
Gill,Gill,Gill,2013,"1,503",1,66.53,0,0,0,0,0,0,1,66.53,12,798.4,5,332.67,7,465.74,0,0,0,0
Gill,Gill,Gill,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gill,Gill,Gill,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gill,Gill,Gill,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gill,Gill,Gill,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gloucester,Gloucester,Gloucester,2010,"30,226",32,105.87,0,0,0,0,4,13.23,28,92.64,647,2140.54,86,284.52,557,1842.78,4,13.23,3,9.93
Gloucester,Gloucester,Gloucester,2011,"28,964",22,75.96,0,0,6,20.72,1,3.45,15,51.79,553,1909.27,82,283.11,466,1608.89,5,17.26,0,0
Gloucester,Gloucester,Gloucester,2012,"29,272",27,92.24,0,0,4,13.66,0,0,23,78.57,416,1421.15,40,136.65,372,1270.84,4,13.66,0,0
Gloucester,Gloucester,Gloucester,2013,"29,383",22,74.87,0,0,9,30.63,0,0,13,44.24,383,1303.47,33,112.31,345,1174.15,5,17.02,0,0
Gloucester,Gloucester,Gloucester,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gloucester,Gloucester,Gloucester,2015,"29,831",71,238.01,0,0,2,6.7,6,20.11,63,211.19,224,750.9,32,107.27,176,589.99,16,53.64,1,3.35
Gloucester,Gloucester,Gloucester,2016,"29,836",73,244.67,0,0,4,13.41,4,13.41,65,217.86,229,767.53,21,70.38,193,646.87,15,50.27,2,6.7
Gloucester,Gloucester,Gloucester,2017,"29,980",82,273.52,0,0,5,16.68,7,23.35,70,233.49,207,690.46,19,63.38,181,603.74,7,23.35,1,3.34
Goshen,Goshen,Goshen,2010,971,0,0,0,0,0,0,0,0,0,0,8,823.89,3,308.96,4,411.95,1,102.99,0,0
Goshen,Goshen,Goshen,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goshen,Goshen,Goshen,2012,"1,062",0,0,0,0,0,0,0,0,0,0,4,376.65,3,282.49,1,94.16,0,0,0,0
Goshen,Goshen,Goshen,2013,"1,057",0,0,0,0,0,0,0,0,0,0,2,189.21,1,94.61,1,94.61,0,0,0,0
Goshen,Goshen,Goshen,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goshen,Goshen,Goshen,2015,"1,073",0,0,0,0,0,0,0,0,0,0,3,279.59,3,279.59,0,0,0,0,0,0
Goshen,Goshen,Goshen,2016,"1,073",1,93.2,0,0,0,0,0,0,1,93.2,3,279.59,1,93.2,1,93.2,1,93.2,0,0
Goshen,Goshen,Goshen,2017,"1,074",1,93.11,0,0,0,0,0,0,1,93.11,7,651.77,4,372.44,3,279.33,0,0,0,0
Gosnold,Gosnold,Gosnold,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gosnold,Gosnold,Gosnold,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gosnold,Gosnold,Gosnold,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gosnold,Gosnold,Gosnold,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gosnold,Gosnold,Gosnold,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gosnold,Gosnold,Gosnold,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gosnold,Gosnold,Gosnold,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gosnold,Gosnold,Gosnold,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grafton,Grafton,Grafton,2010,"17,897",27,150.86,0,0,4,22.35,4,22.35,19,106.16,96,536.4,38,212.33,49,273.79,9,50.29,0,0
Grafton,Grafton,Grafton,2011,"17,873",20,111.9,0,0,2,11.19,1,5.6,17,95.12,135,755.33,43,240.59,87,486.77,5,27.98,2,11.19
Grafton,Grafton,Grafton,2012,"17,986",22,122.32,0,0,1,5.56,1,5.56,20,111.2,116,644.95,40,222.4,69,383.63,7,38.92,2,11.12
Grafton,Grafton,Grafton,2013,"18,182",22,121,0,0,2,11,4,22,16,88,121,665.49,40,220,76,418,5,27.5,0,0
Grafton,Grafton,Grafton,2014,"18,301",34,185.78,0,0,1,5.46,3,16.39,30,163.93,84,458.99,34,185.78,45,245.89,5,27.32,1,5.46
Grafton,Grafton,Grafton,2015,"18,527",26,140.34,0,0,3,16.19,1,5.4,22,118.75,67,361.63,26,140.34,35,188.91,6,32.39,1,5.4
Grafton,Grafton,Grafton,2016,"18,613",29,155.81,0,0,7,37.61,0,0,22,118.2,80,429.81,19,102.08,56,300.86,5,26.86,0,0
Grafton,Grafton,Grafton,2017,"18,763",22,117.25,0,0,6,31.98,1,5.33,15,79.94,60,319.78,11,58.63,43,229.17,6,31.98,0,0
Granby,Granby,Granby,2010,"6,228",10,160.57,1,16.06,1,16.06,1,16.06,7,112.4,83,1332.69,20,321.13,57,915.22,6,96.34,2,32.11
Granby,Granby,Granby,2011,"6,278",7,111.5,0,0,0,0,1,15.93,6,95.57,65,1035.36,12,191.14,53,844.22,0,0,2,31.86
Granby,Granby,Granby,2012,"6,282",7,111.43,0,0,1,15.92,0,0,6,95.51,91,1448.58,23,366.13,62,986.95,6,95.51,1,15.92
Granby,Granby,Granby,2013,"6,297",9,142.93,0,0,0,0,0,0,9,142.93,75,1191.04,13,206.45,58,921.07,4,63.52,0,0
Granby,Granby,Granby,2014,"6,303",10,158.65,0,0,1,15.87,0,0,9,142.79,44,698.08,12,190.39,27,428.37,5,79.33,0,0
Granby,Granby,Granby,2015,"6,357",10,157.31,0,0,3,47.19,1,15.73,6,94.38,44,692.15,10,157.31,31,487.65,3,47.19,1,15.73
Granby,Granby,Granby,2016,"6,375",7,109.8,0,0,0,0,0,0,7,109.8,49,768.63,13,203.92,34,533.33,2,31.37,0,0
Granby,Granby,Granby,2017,"6,379",10,156.76,0,0,1,15.68,0,0,9,141.09,34,533,9,141.09,22,344.88,3,47.03,0,0
Granville,Granville,Granville,2010,"1,639",1,61.01,0,0,0,0,0,0,1,61.01,7,427.09,5,305.06,2,122.03,0,0,0,0
Granville,Granville,Granville,2011,"1,576",1,63.45,0,0,0,0,0,0,1,63.45,0,0,0,0,0,0,0,0,0,0
Granville,Granville,Granville,2012,"1,581",0,0,0,0,0,0,0,0,0,0,13,822.26,4,253,9,569.26,0,0,NA,0
Granville,Granville,Granville,2013,"1,616",2,123.76,0,0,0,0,0,0,2,123.76,8,495.05,4,247.52,4,247.52,0,0,NA,0
Granville,Granville,Granville,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granville,Granville,Granville,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granville,Granville,Granville,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granville,Granville,Granville,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Great Barrington,Great Barrington,Great Barrington,2010,"7,263",27,371.75,0,0,3,41.31,1,13.77,23,316.67,153,2106.57,41,564.51,111,1528.29,1,13.77,3,41.31
Great Barrington,Great Barrington,Great Barrington,2011,"7,147",19,265.85,0,0,4,55.97,4,55.97,11,153.91,168,2350.64,43,601.65,120,1679.03,5,69.96,4,55.97
Great Barrington,Great Barrington,Great Barrington,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Great Barrington,Great Barrington,Great Barrington,2013,"6,972",30,430.29,0,0,8,114.74,1,14.34,21,301.2,124,1778.54,27,387.26,88,1262.19,9,129.09,1,14.34
Great Barrington,Great Barrington,Great Barrington,2014,"6,971",25,358.63,0,0,5,71.73,2,28.69,18,258.21,78,1118.92,21,301.25,55,788.98,2,28.69,1,14.35
Great Barrington,Great Barrington,Great Barrington,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Great Barrington,Great Barrington,Great Barrington,2016,"6,870",11,160.12,0,0,4,58.22,0,0,7,101.89,67,975.25,19,276.56,47,684.13,1,14.56,0,0
Great Barrington,Great Barrington,Great Barrington,2017,"6,815",24,352.16,0,0,3,44.02,2,29.35,19,278.8,64,939.1,10,146.74,49,719,5,73.37,1,14.67
Greenfield,Greenfield,Greenfield,2010,"17,625",124,703.55,1,5.67,10,56.74,8,45.39,105,595.74,533,3024.11,226,1282.27,295,1673.76,12,68.09,3,17.02
Greenfield,Greenfield,Greenfield,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greenfield,Greenfield,Greenfield,2012,"17,667",115,650.93,1,5.66,8,45.28,22,124.53,84,475.46,574,3249,230,1301.86,330,1867.89,14,79.24,4,22.64
Greenfield,Greenfield,Greenfield,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greenfield,Greenfield,Greenfield,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greenfield,Greenfield,Greenfield,2015,"17,354",109,628.1,2,11.52,13,74.91,8,46.1,86,495.56,416,2397.14,62,357.27,342,1970.73,12,69.15,2,11.52
Greenfield,Greenfield,Greenfield,2016,"17,456",117,670.26,3,17.19,27,154.67,8,45.83,79,452.57,365,2090.97,71,406.74,280,1604.03,14,80.2,4,22.91
Greenfield,Greenfield,Greenfield,2017,"17,462",110,629.94,0,0,21,120.26,14,80.17,75,429.5,333,1907,42,240.52,280,1603.48,11,62.99,6,34.36
Groton,Groton,Groton,2010,"10,793",0,0,0,0,0,0,0,0,0,0,37,342.81,15,138.98,19,176.04,3,27.8,0,0
Groton,Groton,Groton,2011,"10,711",0,0,0,0,0,0,0,0,0,0,19,177.39,6,56.02,13,121.37,0,0,0,0
Groton,Groton,Groton,2012,"10,851",7,64.51,0,0,0,0,1,9.22,6,55.29,104,958.44,46,423.92,54,497.65,4,36.86,0,0
Groton,Groton,Groton,2013,"11,164",8,71.66,0,0,2,17.91,0,0,6,53.74,86,770.33,35,313.51,51,456.83,0,0,0,0
Groton,Groton,Groton,2014,"11,260",1,8.88,0,0,0,0,0,0,1,8.88,60,532.86,11,97.69,45,399.64,4,35.52,1,8.88
Groton,Groton,Groton,2015,"11,367",5,43.99,0,0,2,17.59,0,0,3,26.39,92,809.36,23,202.34,66,580.63,3,26.39,0,0
Groton,Groton,Groton,2016,"11,372",4,35.17,0,0,3,26.38,0,0,1,8.79,49,430.88,10,87.94,38,334.15,1,8.79,1,8.79
Groton,Groton,Groton,2017,"11,411",6,52.58,4,35.05,1,8.76,0,0,1,8.76,34,297.96,6,52.58,28,245.38,0,0,1,8.76
Groveland,Groveland,Groveland,2010,"7,533",6,79.65,0,0,0,0,0,0,6,79.65,40,531,6,79.65,32,424.8,2,26.55,0,0
Groveland,Groveland,Groveland,2011,"6,498",1,15.39,0,0,0,0,0,0,1,15.39,25,384.73,2,30.78,21,323.18,2,30.78,0,0
Groveland,Groveland,Groveland,2012,"6,567",2,30.46,0,0,0,0,0,0,2,30.46,45,685.24,2,30.46,40,609.11,3,45.68,0,0
Groveland,Groveland,Groveland,2013,"6,917",1,14.46,0,0,0,0,1,14.46,0,0,17,245.77,6,86.74,11,159.03,0,0,0,0
Groveland,Groveland,Groveland,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Groveland,Groveland,Groveland,2015,"7,211",2,27.74,0,0,0,0,1,13.87,1,13.87,17,235.75,1,13.87,15,208.02,1,13.87,0,0
Groveland,Groveland,Groveland,2016,"6,776",2,29.52,0,0,0,0,0,0,2,29.52,11,162.34,4,59.03,7,103.31,0,0,0,0
Groveland,Groveland,Groveland,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hadley,Hadley,Hadley,2010,"4,674",15,320.92,0,0,0,0,1,21.39,14,299.53,212,4535.73,38,813.01,170,3637.14,4,85.58,1,21.39
Hadley,Hadley,Hadley,2011,"5,282",10,189.32,0,0,2,37.86,1,18.93,7,132.53,254,4808.78,31,586.9,221,4184.02,2,37.86,1,18.93
Hadley,Hadley,Hadley,2012,"5,288",14,264.75,0,0,0,0,4,75.64,10,189.11,238,4500.76,26,491.68,209,3952.34,3,56.73,0,0
Hadley,Hadley,Hadley,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
